date,firm,Ticker,Research_Development,Income_Before_Tax,Net_Income,Selling_General_Administrative,Gross_Profit,Ebit,Operating_Income,Interest_Expense,Income_Tax_Expense,Total_Revenue,Total_Operating_Expenses,Cost_Of_Revenue,Total_Other_Income_Expense_Net,Net_Income_From_Continuing_Ops,Net_Income_Applicable_To_Common_Shares
"2021-09-30 0:00:00","Southwest Airlines",LUV,0,600000000,446000000,0,872000000,-59000000,-59000000,-106000000,154000000,4679000000,4738000000,3807000000,659000000,446000000,446000000
"2021-06-30 0:00:00","Southwest Airlines",LUV,0,502000000,348000000,0,688000000,-161000000,-161000000,-108000000,154000000,4008000000,4169000000,3320000000,663000000,348000000,348000000
"2021-03-31 0:00:00","Southwest Airlines",LUV,0,146000000,116000000,0,-544000000,-1268000000,-1268000000,-103000000,30000000,2052000000,3320000000,2596000000,1414000000,116000000,116000000
"2020-12-31 0:00:00","Southwest Airlines",LUV,0,-1331000000,-908000000,168000000,-601000000,-1200000000,-1200000000,-102000000,-423000000,2013000000,3213000000,2614000000,-131000000,-908000000,-908000000
"2021-07-03 0:00:00","Stanley Black & Decker",SWK,0,532200000,459500000,878900000,1545700000,621100000,621100000,-46500000,73700000,4300900000,3679800000,2755200000,-88900000,458500000,454700000
"2021-04-03 0:00:00","Stanley Black & Decker",SWK,0,606300000,487400000,827400000,1569500000,749200000,749200000,-47500000,119500000,4197100000,3447900000,2627600000,-142900000,486800000,478000000
"2021-01-02 0:00:00","Stanley Black & Decker",SWK,0,535100000,467300000,835300000,1568300000,753100000,753100000,-53400000,67400000,4407600000,3654500000,2839300000,-218000000,467700000,458000000
"2020-09-26 0:00:00","Stanley Black & Decker",SWK,0,473600000,394900000,695300000,1383300000,614300000,614300000,-52700000,78400000,3850200000,3235900000,2466900000,-140700000,395200000,385500000
"2021-06-27 0:00:00",Starbucks,SBUX,0,1411300000,1153400000,494900000,2323600000,1403000000,1403000000,-113400000,257100000,7496500000,6093500000,5172900000,8300000,1154200000,1153400000
"2021-03-28 0:00:00",Starbucks,SBUX,0,889900000,659400000,464400000,1852300000,933500000,933500000,-118600000,230500000,6668000000,5734500000,4815700000,-43600000,659400000,659400000
"2020-12-27 0:00:00",Starbucks,SBUX,0,808300000,622200000,472100000,1833000000,903000000,903000000,-120700000,186100000,6749400000,5846400000,4916400000,-94700000,622200000,622200000
"2020-09-27 0:00:00",Starbucks,SBUX,0,442400000,392600000,439000000,1625100000,723100000,723100000,-124900000,49700000,6203100000,5480000000,4578000000,-280700000,392700000,392600000
"2021-06-30 0:00:00","State Street Corporation",STT,0,938000000,763000000,1591000000,3049000000,0,1012000000,0,175000000,3049000000,2037000000,0,-74000000,763000000,728000000
"2021-03-31 0:00:00","State Street Corporation",STT,0,627000000,519000000,1789000000,2959000000,0,695000000,0,108000000,2959000000,2264000000,0,-68000000,519000000,489000000
"2020-12-31 0:00:00","State Street Corporation",STT,0,641000000,537000000,1579000000,2917000000,0,845000000,0,104000000,2917000000,2072000000,0,-204000000,537000000,498000000
"2020-09-30 0:00:00","State Street Corporation",STT,0,681000000,555000000,1586000000,2784000000,0,755000000,0,126000000,2784000000,2029000000,0,-74000000,555000000,517000000
"2021-06-30 0:00:00",Steris,STE,18192000,-28977000,-21807000,252756000,426282000,155334000,155334000,-21812000,-7075000,968422000,813088000,542140000,-184311000,-21902000,-21807000
"2021-03-31 0:00:00",Steris,STE,17514000,137519000,88851000,199420000,386852000,169918000,169918000,-10124000,49369000,873531000,703613000,486679000,-32399000,88150000,88851000
"2020-12-31 0:00:00",Steris,STE,16438000,139430000,114501000,170810000,353112000,165864000,165864000,-8899000,24842000,808924000,643060000,455812000,-26434000,114588000,114501000
"2020-09-30 0:00:00",Steris,STE,16143000,133786000,105858000,171572000,334576000,146861000,146861000,-8665000,27778000,756132000,609271000,421556000,-13075000,106008000,105858000
"2021-06-30 0:00:00","Stryker Corporation",SYK,310000000,662000000,592000000,1505000000,2772000000,808000000,808000000,0,70000000,4294000000,3486000000,1522000000,-146000000,592000000,592000000
"2021-03-31 0:00:00","Stryker Corporation",SYK,288000000,367000000,302000000,1394000000,2586000000,723000000,723000000,0,65000000,3953000000,3230000000,1367000000,-356000000,302000000,302000000
"2020-12-31 0:00:00","Stryker Corporation",SYK,255000000,671000000,568000000,1284000000,2773000000,1104000000,1104000000,-399000000,103000000,4262000000,3158000000,1489000000,-433000000,568000000,568000000
"2020-09-30 0:00:00","Stryker Corporation",SYK,242000000,780000000,621000000,1188000000,2461000000,917000000,917000000,-399000000,159000000,3737000000,2820000000,1276000000,-137000000,621000000,621000000
"2021-03-31 0:00:00","SVB Financial",SIVB,0,749079000,536814000,581082000,1385080000,0,758542000,0,187315000,1385080000,626538000,0,-9463000,561764000,532220000
"2020-12-31 0:00:00","SVB Financial",SIVB,0,586897000,392910000,554026000,1251696000,0,625398000,0,148096000,1251696000,626298000,0,-38501000,438801000,388316000
"2020-09-30 0:00:00","SVB Financial",SIVB,0,636320000,446307000,446535000,1097323000,0,613235000,0,162265000,1097323000,484088000,0,23085000,474055000,441713000
"2020-06-30 0:00:00","SVB Financial",SIVB,0,335658000,233529000,433170000,815294000,0,342477000,0,87869000,815294000,472817000,0,-6819000,247789000,228935000
"2021-06-30 0:00:00","Synchrony Financial",SYF,0,1641000000,1242000000,799000000,2589000000,0,1641000000,0,399000000,2589000000,948000000,0,0,1242000000,1232000000
"2021-03-31 0:00:00","Synchrony Financial",SYF,0,1315000000,1025000000,780000000,2247000000,0,1315000000,0,290000000,2247000000,932000000,0,0,1025000000,1014000000
"2020-12-31 0:00:00","Synchrony Financial",SYF,0,944000000,738000000,803000000,1944000000,0,1321000000,0,206000000,1944000000,623000000,0,-377000000,738000000,728000000
"2020-09-30 0:00:00","Synchrony Financial",SYF,0,412000000,313000000,757000000,1479000000,0,456000000,0,99000000,1479000000,1023000000,0,-44000000,313000000,303000000
"2021-07-31 0:00:00",Synopsys,SNPS,371146000,213337000,198646000,255274000,863934000,217074000,217074000,-757000,14945000,1057130000,840056000,193196000,-3737000,198392000,198646000
"2021-04-30 0:00:00",Synopsys,SNPS,362345000,215995000,195078000,245448000,821745000,194231000,194231000,-807000,21193000,1024323000,830092000,202578000,21764000,194802000,195078000
"2021-01-31 0:00:00",Synopsys,SNPS,357468000,177104000,162345000,248116000,774208000,148348000,148348000,-739000,15076000,970321000,821973000,196113000,28756000,162028000,162345000
"2020-10-31 0:00:00",Synopsys,SNPS,339566000,191566000,197455000,256295000,812610000,195745000,195745000,-750000,-4989000,1025439000,829694000,212829000,-4179000,196555000,197455000
"2021-03-27 0:00:00",Sysco,SYY,0,102852000,88927000,1908018000,2122668000,226793000,226793000,-145773000,13925000,11824589000,11597796000,9701921000,-123941000,88927000,88927000
"2020-12-26 0:00:00",Sysco,SYY,0,81120000,67289000,1923229000,2098458000,175229000,175229000,-146498000,13831000,11558982000,11383753000,9460524000,-94109000,67289000,67289000
"2020-09-26 0:00:00",Sysco,SYY,0,258738000,216900000,1784838000,2219845000,435007000,435007000,-146717000,41838000,11777379000,11342372000,9557534000,-176269000,216900000,216900000
"2020-06-27 0:00:00",Sysco,SYY,0,-736245000,-618419000,1589107000,1565655000,-34124000,-34124000,-164269000,-117826000,8866564000,8900688000,7300909000,-702121000,-618419000,-618419000
"2021-06-30 0:00:00","T. Rowe Price",TROW,0,1102000000,815700000,231400000,1189500000,958100000,958100000,0,259300000,1929300000,971200000,739800000,143900000,842700000,793500000
"2021-03-31 0:00:00","T. Rowe Price",TROW,0,995300000,749400000,223500000,1116700000,893200000,893200000,0,230500000,1826800000,933600000,710100000,102100000,764800000,729500000
"2020-12-31 0:00:00","T. Rowe Price",TROW,0,1146000000,783400000,221800000,977700000,755900000,755900000,0,216400000,1732900000,977000000,755200000,390100000,929600000,762200000
"2020-09-30 0:00:00","T. Rowe Price",TROW,0,920500000,643200000,204300000,933200000,728900000,728900000,0,221900000,1595800000,866900000,662600000,191600000,698600000,625300000
"2021-09-30 0:00:00","Take-Two Interactive",TTWO,101508000,19974000,10297000,240401000,456794000,98704000,98704000,-113000,9677000,858198000,759494000,401404000,-78730000,10297000,10297000
"2021-06-30 0:00:00","Take-Two Interactive",TTWO,92294000,171444000,152256000,206298000,493402000,182345000,182345000,-145000,19188000,813346000,631001000,319944000,-10901000,152256000,152256000
"2021-03-31 0:00:00","Take-Two Interactive",TTWO,83559000,253591000,218812000,205062000,573630000,269529000,269529000,-5902000,34779000,839431000,569902000,265801000,-15938000,218812000,218812000
"2020-12-31 0:00:00","Take-Two Interactive",TTWO,86428000,216446000,182248000,238489000,520177000,181253000,181253000,-141000,34198000,860889000,679636000,340712000,35193000,182248000,182248000
"2021-07-03 0:00:00",Tapestry,TPR,0,242200000,199800000,885500000,1158000000,272500000,272500000,-17100000,42400000,1615400000,1342900000,457400000,-30300000,199800000,199800000
"2021-03-27 0:00:00",Tapestry,TPR,0,95400000,91700000,729000000,911900000,182900000,182900000,-17400000,3700000,1273300000,1090400000,361400000,-87500000,91700000,91700000
"2020-12-26 0:00:00",Tapestry,TPR,0,374300000,311000000,762600000,1173700000,411100000,411100000,-19400000,63300000,1685400000,1274300000,511700000,-36800000,311000000,311000000
"2020-09-26 0:00:00",Tapestry,TPR,0,185400000,231700000,601400000,830200000,228800000,228800000,-20200000,-46300000,1172200000,943400000,342000000,-43400000,231700000,231700000
"2021-06-25 0:00:00","TE Connectivity",TEL,168000000,705000000,580000000,362000000,1268000000,737000000,737000000,-14000000,124000000,3845000000,3108000000,2577000000,-32000000,581000000,580000000
"2021-03-26 0:00:00","TE Connectivity",TEL,174000000,611000000,506000000,397000000,1210000000,637000000,637000000,-13000000,106000000,3738000000,3101000000,2528000000,-26000000,505000000,506000000
"2020-12-25 0:00:00","TE Connectivity",TEL,162000000,435000000,381000000,358000000,1146000000,608000000,608000000,-15000000,60000000,3522000000,2914000000,2376000000,-173000000,375000000,381000000
"2020-09-25 0:00:00","TE Connectivity",TEL,148000000,337000000,230000000,352000000,969000000,469000000,469000000,-12000000,109000000,3261000000,2792000000,2292000000,-132000000,228000000,230000000
"2021-07-04 0:00:00","Teledyne Technologies",TDY,0,92100000,64700000,223700000,481600000,225100000,225100000,-21200000,27400000,1121000000,895900000,639400000,-133000000,64700000,64700000
"2021-04-04 0:00:00","Teledyne Technologies",TDY,0,101300000,84700000,168300000,313200000,144900000,144900000,-35700000,16600000,805700000,660800000,492500000,-43600000,84700000,84700000
"2021-01-03 0:00:00","Teledyne Technologies",TDY,0,141100000,132100000,158200000,303100000,144900000,144900000,-3400000,9000000,809300000,664400000,506200000,-3800000,132100000,132100000
"2020-09-27 0:00:00","Teledyne Technologies",TDY,0,119700000,93900000,164800000,290500000,125700000,125700000,-4100000,25800000,749000000,623300000,458500000,-6000000,93900000,93900000
"2021-06-27 0:00:00",Teleflex,TFX,33283000,99695000,83248000,224159000,397556000,140114000,140114000,-16171000,16412000,713473000,573359000,315917000,-40419000,83283000,83248000
"2021-03-28 0:00:00",Teleflex,TFX,29947000,87295000,74866000,196794000,344527000,117786000,117786000,-16798000,12428000,633925000,516139000,289398000,-30491000,74867000,74866000
"2020-12-31 0:00:00",Teleflex,TFX,33769000,76561000,76131000,209885000,383554000,139900000,139900000,-18721000,-40000,711179000,571279000,327625000,-63339000,76601000,76131000
"2020-09-27 0:00:00",Teleflex,TFX,29218000,115654000,116587000,171673000,329324000,128433000,128433000,-16652000,-951000,628301000,499868000,298977000,-12779000,116605000,116587000
"2021-07-04 0:00:00",Teradyne,TER,110021000,384026000,328319000,140187000,646989000,389272000,389272000,-5566000,55707000,1085728000,696456000,438739000,-5246000,328319000,328319000
"2021-04-04 0:00:00",Teradyne,TER,100402000,223993000,205512000,129797000,461618000,225473000,225473000,-6004000,18481000,781606000,556133000,319988000,-1480000,205512000,205512000
"2020-12-31 0:00:00",Teradyne,TER,100794000,222926000,196332000,135525000,449790000,207212000,207212000,-6351000,26594000,758969000,551757000,309179000,15714000,196332000,196332000
"2020-09-27 0:00:00",Teradyne,TER,94909000,263731000,222718000,115840000,458928000,241869000,241869000,-6237000,41013000,819484000,577615000,360556000,21862000,222718000,222718000
"2021-03-31 0:00:00",Tesla,TSLA,666000000,533000000,438000000,1056000000,2215000000,493000000,493000000,-79000000,69000000,10389000000,9896000000,8174000000,40000000,464000000,438000000
"2020-12-31 0:00:00",Tesla,TSLA,522000000,379000000,270000000,969000000,2066000000,575000000,575000000,-241000000,83000000,10744000000,10169000000,8678000000,-196000000,296000000,270000000
"2020-09-30 0:00:00",Tesla,TSLA,366000000,555000000,331000000,931000000,2063000000,766000000,766000000,-162000000,186000000,8771000000,8005000000,6708000000,-211000000,369000000,300000000
"2020-06-30 0:00:00",Tesla,TSLA,279000000,150000000,104000000,661000000,1267000000,327000000,327000000,-173000000,21000000,6036000000,5709000000,4769000000,-177000000,129000000,104000000
"2021-03-31 0:00:00","Texas Instruments",TXN,386000000,1939000000,1753000000,436000000,2797000000,1928000000,1928000000,-46000000,186000000,4289000000,2361000000,1492000000,11000000,1753000000,1745000000
"2020-12-31 0:00:00","Texas Instruments",TXN,388000000,1927000000,1688000000,364000000,2646000000,1847000000,1847000000,-48000000,239000000,4076000000,2229000000,1430000000,80000000,1688000000,1680000000
"2020-09-30 0:00:00","Texas Instruments",TXN,386000000,1587000000,1353000000,415000000,2453000000,1601000000,1601000000,-49000000,234000000,3817000000,2216000000,1364000000,-14000000,1353000000,1347000000
"2021-07-03 0:00:00",Textron,TXT,0,218000000,183000000,275000000,527000000,252000000,252000000,-32000000,34000000,3191000000,2939000000,2664000000,-34000000,184000000,183000000
"2021-04-03 0:00:00",Textron,TXT,0,190000000,171000000,258000000,474000000,216000000,216000000,-35000000,19000000,2879000000,2663000000,2405000000,-26000000,171000000,171000000
"2021-01-02 0:00:00",Textron,TXT,0,215000000,236000000,264000000,538000000,274000000,274000000,-36000000,-21000000,3667000000,3393000000,3129000000,-59000000,236000000,236000000
"2020-10-03 0:00:00",Textron,TXT,0,116000000,115000000,237000000,398000000,161000000,161000000,-38000000,1000000,2735000000,2574000000,2337000000,-45000000,115000000,115000000
"2021-07-31 0:00:00","The Cooper Companies",COO,24800000,94000000,615800000,293800000,516100000,159300000,159300000,-5600000,-521800000,763400000,604100000,247300000,-65300000,615800000,615800000
"2021-04-30 0:00:00","The Cooper Companies",COO,21000000,136400000,117500000,279100000,487100000,149900000,149900000,-6100000,18900000,719500000,569600000,232400000,-13500000,117500000,117500000
"2021-01-31 0:00:00","The Cooper Companies",COO,21400000,139500000,2101100000,257600000,450700000,137000000,137000000,-6400000,-1961600000,680500000,543500000,229800000,2500000,2101100000,2101100000
"2020-10-31 0:00:00","The Cooper Companies",COO,25500000,93700000,81200000,264200000,514100000,190200000,190200000,-6700000,12500000,681600000,491400000,167500000,-96500000,81200000,81200000
"2021-06-30 0:00:00","The Hartford",HIG,0,1110000000,905000000,1202000000,2379000000,1169000000,1169000000,-47000000,205000000,5579000000,4410000000,3200000000,-59000000,905000000,900000000
"2021-03-31 0:00:00","The Hartford",HIG,0,303000000,249000000,1144000000,1547000000,374000000,374000000,-47000000,54000000,5289000000,4915000000,3742000000,-71000000,249000000,244000000
"2020-12-31 0:00:00","The Hartford",HIG,0,652000000,537000000,1087000000,1819000000,684000000,684000000,-47000000,115000000,5318000000,4634000000,3499000000,-32000000,537000000,532000000
"2020-09-30 0:00:00","The Hartford",HIG,0,532000000,459000000,1079000000,1779000000,682000000,682000000,-49000000,73000000,5162000000,4480000000,3383000000,-150000000,459000000,453000000
"2021-07-04 0:00:00","The Hershey Company",HSY,0,418416000,301230000,468647000,926487000,457840000,457840000,-31684000,117186000,1989422000,1531582000,1062935000,-39424000,301230000,301230000
"2021-04-04 0:00:00","The Hershey Company",HSY,0,514194000,395799000,494183000,1052946000,558763000,558763000,-37046000,117323000,2295948000,1737185000,1243002000,-44569000,396871000,395799000
"2020-12-31 0:00:00","The Hershey Company",HSY,37577000,263400000,291387000,504428000,964280000,422275000,422275000,-38720000,-27930000,2185244000,1762969000,1220964000,-158875000,291330000,291387000
"2020-09-27 0:00:00","The Hershey Company",HSY,37577000,562508000,447283000,473395000,1080024000,606629000,606629000,-38056000,115250000,2219829000,1613200000,1139805000,-44121000,447258000,447283000
"2021-06-30 0:00:00","The Mosaic Company",MOS,0,554700000,437200000,107600000,729300000,619100000,619100000,-43800000,115900000,2800700000,2181600000,2071400000,-64400000,438800000,437200000
"2021-03-31 0:00:00","The Mosaic Company",MOS,0,217900000,156700000,101700000,464900000,358200000,358200000,-49400000,59700000,2297100000,1938900000,1832200000,-140300000,158200000,156700000
"2020-12-31 0:00:00","The Mosaic Company",MOS,0,347400000,827900000,110900000,348400000,264100000,264100000,-55500000,-480900000,2457400000,2193300000,2109000000,83300000,828300000,827900000
"2020-09-30 0:00:00","The Mosaic Company",MOS,0,33500000,-6200000,97600000,374100000,149500000,149500000,-50800000,38100000,2381500000,2232000000,2007400000,-116000000,-4600000,-6200000
"2021-06-30 0:00:00","The Travelers Companies",TRV,0,1131000000,934000000,1174000000,2388000000,1214000000,1214000000,-83000000,197000000,8687000000,7473000000,6299000000,-83000000,934000000,927000000
"2021-03-31 0:00:00","The Travelers Companies",TRV,0,891000000,733000000,1163000000,2136000000,973000000,973000000,-82000000,158000000,8313000000,7340000000,6177000000,-82000000,733000000,728000000
"2020-12-31 0:00:00","The Travelers Companies",TRV,0,1616000000,1310000000,1142000000,2841000000,1699000000,1699000000,-83000000,306000000,8397000000,6698000000,5556000000,-83000000,1310000000,1300000000
"2020-09-30 0:00:00","The Travelers Companies",TRV,0,986000000,827000000,1109000000,2182000000,1073000000,1073000000,-87000000,159000000,8275000000,7202000000,6093000000,-87000000,827000000,821000000
"2021-05-01 0:00:00","TJX Companies",TJX,0,721346000,533930000,2064992000,2831026000,766034000,766034000,-45888000,187416000,10086661000,9320627000,7255635000,-44688000,533930000,533930000
"2020-10-31 0:00:00","TJX Companies",TJX,0,1015992000,866656000,1986128000,3055004000,1068876000,1068876000,-54200000,149336000,10117289000,9048413000,7062285000,-52884000,866656000,866656000
"2020-08-01 0:00:00","TJX Companies",TJX,0,-92019000,-214220000,1527768000,1493085000,-34683000,-34683000,-59000000,122201000,6667575000,6702258000,5174490000,-57336000,-214220000,-214220000
"2021-06-26 0:00:00","Tractor Supply Company",TSCO,0,479182000,370022000,723749000,1287485000,498883000,498883000,-6701000,109160000,3601559000,3102676000,2314074000,-19701000,370022000,370022000
"2021-03-27 0:00:00","Tractor Supply Company",TSCO,0,223315000,181354000,693190000,983780000,230536000,230536000,-7221000,41961000,2792336000,2561800000,1808556000,-7221000,181354000,181354000
"2020-12-26 0:00:00","Tractor Supply Company",TSCO,0,176381000,135893000,643522000,995530000,293518000,293518000,-8086000,40488000,2878265000,2584747000,1882735000,-117137000,135893000,135893000
"2020-09-26 0:00:00","Tractor Supply Company",TSCO,0,244969000,190610000,621129000,947957000,272177000,272177000,-7208000,54359000,2606572000,2334395000,1658615000,-27208000,190610000,190610000
"2021-06-30 0:00:00","Trane Technologies",TT,0,592000000,464700000,617800000,1271500000,653700000,653700000,-59300000,122800000,3829700000,3176000000,2558200000,-61700000,469200000,464700000
"2021-03-31 0:00:00","Trane Technologies",TT,0,285300000,235200000,597200000,955000000,357800000,357800000,-60700000,48400000,3017600000,2659800000,2062600000,-72500000,236900000,235200000
"2020-12-31 0:00:00","Trane Technologies",TT,0,322600000,244700000,563400000,950100000,386700000,386700000,-61900000,72400000,3179100000,2792400000,2229000000,-64100000,250200000,244700000
"2020-09-30 0:00:00","Trane Technologies",TT,0,500000000,400600000,566800000,1138000000,571200000,571200000,-62400000,89900000,3495500000,2924300000,2357500000,-71200000,410100000,400600000
"2021-07-03 0:00:00","TransDigm Group",TDG,0,244000000,317000000,165000000,657000000,456000000,456000000,-263000000,-73000000,1218000000,762000000,561000000,-212000000,317000000,317000000
"2021-04-03 0:00:00","TransDigm Group",TDG,0,130000000,104000000,148000000,615000000,431000000,431000000,-268000000,25000000,1194000000,763000000,579000000,-301000000,105000000,104000000
"2021-01-02 0:00:00","TransDigm Group",TDG,0,53000000,50000000,185000000,554000000,340000000,340000000,-267000000,3000000,1108000000,768000000,554000000,-287000000,50000000,-23000000
"2020-09-30 0:00:00","TransDigm Group",TDG,0,76000000,82000000,167000000,560000000,352000000,352000000,-267000000,-25000000,1173000000,821000000,613000000,-276000000,101000000,82000000
"2021-07-02 0:00:00",Trimble,TRMB,138300000,162400000,138900000,224800000,547600000,149500000,149500000,-16600000,23500000,945200000,795700000,397600000,12900000,138900000,138900000
"2021-04-02 0:00:00",Trimble,TRMB,129400000,137400000,114500000,207800000,515400000,142400000,142400000,-16900000,22800000,886500000,744100000,371100000,-5000000,114600000,114500000
"2021-01-01 0:00:00",Trimble,TRMB,125800000,128300000,180300000,180100000,491000000,147500000,147500000,-17900000,-52400000,829700000,682200000,338700000,-19200000,180700000,180300000
"2020-10-02 0:00:00",Trimble,TRMB,117900000,96400000,84700000,191000000,463300000,114400000,114400000,-19600000,11600000,792100000,677700000,328800000,-18000000,84800000,84700000
"2021-06-30 0:00:00",Twitter,TWTR,299859000,81300000,65649000,443384000,773495000,30252000,30252000,-13893000,15651000,1190427000,1160175000,416932000,51048000,65649000,65649000
"2021-03-31 0:00:00",Twitter,TWTR,250709000,50004000,68005000,352119000,655010000,52182000,52182000,-13185000,-18001000,1036018000,983836000,381008000,-2178000,68005000,68005000
